Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,3500,3640,3500,3610,3436.709717,455088400
2020-12-17,3610,3620,3520,3540,3370.070068,249797800
2020-12-18,3500,3540,3500,3510,3341.51001,187856600
2020-12-21,3530,3610,3510,3520,3351.030029,267970200
2020-12-22,3500,3540,3340,3360,3198.710449,311860000
2020-12-23,3350,3420,3240,3320,3160.630615,240067600
2020-12-28,3370,3460,3280,3430,3265.350342,178138100
2020-12-29,3500,3530,3400,3420,3255.830322,184525500
2020-12-30,3420,3420,3310,3310,3151.110596,150844500
2021-01-04,3320,3500,3310,3490,3322.469971,165339800
2021-01-05,3480,3480,3420,3470,3303.430176,157800700
2021-01-06,3470,3490,3330,3370,3208.230469,177877900
2021-01-07,3390,3450,3380,3390,3227.270264,140221900
2021-01-08,3450,3620,3440,3570,3398.629883,492643700
2021-01-11,3590,3640,3570,3600,3427.189697,271231200
2021-01-12,3600,3620,3500,3510,3341.51001,189779500
2021-01-13,3550,3550,3460,3480,3312.950195,162329300
2021-01-14,3480,3590,3470,3500,3331.98999,187448400
2021-01-15,3510,3540,3450,3480,3312.950195,133304300
2021-01-18,3480,3520,3430,3450,3284.390137,138913100
2021-01-19,3470,3490,3370,3410,3246.310303,144100700
2021-01-20,3420,3480,3380,3470,3303.430176,116098100
2021-01-21,3500,3520,3460,3480,3312.950195,81801900
2021-01-22,3420,3440,3360,3390,3227.270264,165024200
2021-01-25,3370,3410,3310,3370,3208.230469,118131800
2021-01-26,3360,3390,3260,3260,3103.510742,111414500
2021-01-27,3340,3380,3260,3380,3217.750488,159144700
2021-01-28,3280,3330,3230,3240,3084.470703,142648800
2021-01-29,3290,3290,3110,3110,2960.711182,191915100
2021-02-01,3130,3250,3040,3230,3074.950928,133929600
2021-02-02,3300,3330,3250,3270,3113.030762,114734600
2021-02-03,3250,3330,3220,3240,3084.470703,86433900
2021-02-04,3270,3330,3260,3290,3132.070557,80319500
2021-02-05,3320,3320,3270,3290,3132.070557,52630500
2021-02-08,3300,3370,3270,3280,3122.550781,96635600
2021-02-09,3250,3300,3180,3200,3046.390869,157479200
2021-02-10,3180,3220,3160,3190,3036.87085,125221400
2021-02-11,3220,3230,3170,3190,3036.87085,79940700
2021-02-15,3200,3260,3200,3220,3065.430908,88883300
2021-02-16,3200,3250,3190,3210,3055.910889,82026300
2021-02-17,3220,3250,3140,3150,2998.791016,121105300
2021-02-18,3190,3270,3180,3180,3027.351074,151200300
2021-02-19,3180,3220,3170,3210,3055.910889,63214600
2021-02-22,3210,3240,3170,3170,3017.831055,100425500
2021-02-23,3200,3480,3200,3470,3303.430176,354966200
2021-02-24,3490,3550,3460,3480,3312.950195,303017100
2021-02-25,3510,3570,3450,3490,3322.469971,226833000
2021-02-26,3450,3510,3410,3490,3322.469971,230007700
2021-03-01,3490,3510,3470,3490,3322.469971,91513500
2021-03-02,3490,3500,3440,3460,3293.910156,169061400
2021-03-03,3480,3480,3420,3440,3274.870117,82610700
2021-03-04,3420,3430,3350,3360,3198.710449,142322100
2021-03-05,3340,3370,3320,3320,3160.630615,128546000
2021-03-08,3360,3400,3330,3340,3179.67041,80094900
2021-03-09,3370,3390,3280,3290,3132.070557,110090800
2021-03-10,3340,3420,3310,3400,3236.790283,91631900
2021-03-12,3440,3480,3430,3450,3284.390137,100195200
2021-03-15,3440,3450,3380,3380,3217.750488,50077300
2021-03-16,3400,3410,3360,3360,3198.710449,60111200
2021-03-17,3410,3430,3370,3390,3227.270264,61701400
2021-03-18,3450,3480,3430,3450,3284.390137,101896400
2021-03-19,3410,3440,3380,3440,3274.870117,140000000
2021-03-22,3440,3440,3380,3380,3217.750488,53870300
2021-03-23,3390,3420,3350,3360,3198.710449,55323200
2021-03-24,3320,3390,3320,3370,3208.230469,67173200
2021-03-25,3400,3430,3380,3410,3246.310303,107607200
2021-03-26,3410,3500,3390,3490,3322.469971,106810400
2021-03-29,3470,3490,3400,3410,3246.310303,72214100
2021-03-30,3420,3430,3360,3380,3217.750488,66491800
2021-03-31,3380,3420,3330,3420,3255.830322,134671900
2021-04-01,3390,3440,3380,3390,3227.270264,73332000
2021-04-05,3430,3430,3370,3380,3217.750488,36029200
2021-04-06,3400,3410,3370,3370,3208.230469,40566400
2021-04-07,3410,3430,3380,3400,3236.790283,84754300
2021-04-08,3380,3400,3380,3390,3227.270264,59079700
2021-04-09,3390,3390,3360,3360,3198.710449,56861400
2021-04-12,3340,3390,3300,3310,3151.110596,79003200
2021-04-13,3340,3340,3300,3330,3170.150635,51300200
2021-04-14,3360,3360,3320,3340,3179.67041,52587500
2021-04-15,3340,3360,3320,3360,3198.710449,65669100
2021-04-16,3370,3370,3320,3360,3198.710449,52517800
2021-04-19,3330,3360,3330,3340,3179.67041,44899700
2021-04-20,3330,3350,3300,3320,3160.630615,55700100
2021-04-21,3290,3330,3280,3280,3122.550781,47167800
2021-04-22,3290,3340,3290,3330,3170.150635,54970000
2021-04-23,3330,3330,3290,3310,3151.110596,39798400
2021-04-26,3280,3300,3250,3250,3093.990723,55076200
2021-04-27,3240,3250,3140,3160,3008.311035,166985400
2021-04-28,3160,3170,3130,3140,2989.270996,91596300
2021-04-29,3150,3210,3140,3200,3046.390869,111785100
2021-04-30,3220,3260,3200,3200,3046.390869,143840800
2021-05-03,3200,3210,3130,3170,3017.831055,124724400
2021-05-04,3180,3210,3170,3210,3055.910889,60180600
2021-05-05,3210,3210,3180,3200,3046.390869,76480300
2021-05-06,3200,3200,3150,3190,3036.87085,91955600
2021-05-07,3200,3220,3180,3190,3036.87085,98099900
2021-05-10,3190,3200,3160,3170,3017.831055,104121900
2021-05-11,3170,3200,3150,3180,3027.351074,94281900
2021-05-17,3190,3190,3150,3190,3036.87085,114071400
2021-05-18,3190,3190,3150,3180,3027.351074,77310400
2021-05-19,3150,3220,3150,3160,3008.311035,48958100
2021-05-20,3190,3320,3180,3310,3151.110596,197430900
2021-05-21,3340,3350,3270,3270,3113.030762,104101400
2021-05-24,3290,3330,3220,3260,3103.510742,64347100
2021-05-25,3290,3320,3270,3300,3141.590576,62218300
2021-05-27,3350,3400,3330,3380,3217.750488,233551300
2021-05-28,3380,3400,3260,3270,3113.030762,87439800
2021-05-31,3300,3460,3300,3440,3274.870117,155768200
2021-06-02,3490,3500,3420,3450,3284.390137,108933400
2021-06-03,3420,3490,3420,3490,3322.469971,77627900
2021-06-04,3490,3510,3450,3500,3331.98999,70624200
2021-06-07,3540,3570,3500,3550,3379.589844,124440300
2021-06-08,3550,3550,3470,3500,3331.98999,132409400
2021-06-09,3340,3400,3310,3390,3390,112204200
2021-06-10,3350,3500,3340,3480,3480,137713700
2021-06-11,3490,3500,3420,3470,3470,82336600
2021-06-14,3460,3470,3400,3410,3410,46016500
2021-06-15,3410,3440,3380,3440,3440,60528600
2021-06-16,3380,3430,3380,3410,3410,39149800
2021-06-17,3370,3420,3350,3350,3350,50286100
2021-06-18,3350,3400,3290,3350,3350,168414300
2021-06-21,3280,3340,3260,3300,3300,74248200
2021-06-22,3300,3370,3290,3300,3300,89349200
2021-06-23,3310,3420,3310,3370,3370,81901000
2021-06-24,3330,3360,3240,3250,3250,101334200
2021-06-25,3250,3300,3240,3250,3250,58330700
2021-06-28,3250,3260,3170,3170,3170,66338900
2021-06-29,3190,3260,3150,3160,3160,123411200
2021-06-30,3150,3180,3130,3150,3150,142204500
2021-07-01,3160,3170,3090,3110,3110,143665900
2021-07-02,3110,3130,3060,3070,3070,161855700
2021-07-05,3070,3090,3010,3040,3040,133815000
2021-07-06,3050,3070,3000,3010,3010,151573500
2021-07-07,3030,3070,3010,3030,3030,110215500
2021-07-08,3060,3060,3000,3010,3010,132576600
2021-07-09,3040,3170,3030,3160,3160,222916400
2021-07-12,3190,3190,3110,3130,3130,86268000
2021-07-13,3160,3160,3050,3070,3070,82856600
2021-07-14,3050,3070,3020,3060,3060,84993400
2021-07-15,3110,3140,3080,3130,3130,88092800
2021-07-16,3140,3170,3110,3170,3170,63626300
2021-07-19,3160,3230,3150,3220,3220,116219500
2021-07-21,3190,3240,3180,3210,3210,115099400
2021-07-22,3210,3260,3210,3260,3260,48865700
2021-07-23,3250,3250,3150,3170,3170,67128400
2021-07-26,3140,3200,3140,3190,3190,55525800
2021-07-27,3210,3270,3160,3270,3270,62673400
2021-07-28,3250,3250,3150,3190,3190,103282300
2021-07-29,3210,3290,3200,3230,3230,126542400
2021-07-30,3200,3290,3200,3240,3240,95143100
2021-08-02,3240,3310,3210,3310,3310,60368200
2021-08-03,3310,3360,3290,3330,3330,89712500
2021-08-04,3330,3370,3310,3370,3370,63108600
2021-08-05,3360,3400,3320,3340,3340,89742800
2021-08-06,3360,3380,3310,3320,3320,31664200
2021-08-09,3260,3300,3220,3250,3250,70299500
2021-08-10,3240,3270,3190,3230,3230,57658000
2021-08-12,3260,3350,3240,3350,3350,93133400
2021-08-13,3370,3380,3260,3300,3300,59903600
2021-08-16,3300,3340,3290,3340,3340,38661800
2021-08-18,3360,3440,3350,3420,3420,162921300
2021-08-19,3410,3430,3360,3390,3390,100851800
2021-08-20,3390,3430,3370,3400,3400,113411000
2021-08-23,3420,3440,3400,3440,3440,64122400
2021-08-24,3410,3420,3310,3400,3400,69338100
2021-08-25,3390,3390,3330,3370,3370,66618200
2021-08-26,3330,3360,3320,3360,3360,55756100
2021-08-27,3370,3370,3310,3320,3320,62419000
2021-08-30,3330,3400,3330,3400,3400,64177700
2021-08-31,3400,3420,3360,3400,3400,130019000
2021-09-01,3420,3420,3330,3340,3340,85135200
2021-09-02,3350,3390,3350,3370,3370,51633800
2021-09-03,3400,3420,3370,3390,3390,65479800
2021-09-06,3410,3410,3380,3390,3390,52640400
2021-09-07,3410,3410,3360,3380,3380,42617400
2021-09-08,3400,3400,3310,3330,3330,80636800
2021-09-09,3360,3390,3330,3390,3390,82214400
2021-09-10,3380,3390,3320,3330,3330,52115300
2021-09-13,3310,3350,3300,3350,3350,45547200
2021-09-14,3380,3450,3350,3440,3440,166002100
2021-09-15,3430,3450,3410,3450,3450,73158300
2021-09-16,3470,3470,3400,3440,3440,58318700
2021-09-17,3400,3530,3390,3530,3530,117573100
2021-09-20,3500,3520,3460,3520,3520,83985100
2021-09-21,3500,3560,3480,3530,3530,95848100
2021-09-22,3530,3590,3520,3590,3590,66835200
2021-09-23,3600,3610,3550,3560,3560,104737500
2021-09-24,3560,3580,3540,3560,3560,72224500
2021-09-27,3530,3560,3480,3520,3520,87303000
2021-09-28,3510,3540,3490,3530,3530,54671700
2021-09-29,3490,3540,3490,3530,3530,53170100
2021-09-30,3550,3690,3540,3690,3690,153853900
2021-10-01,3680,3690,3610,3660,3660,109898400
2021-10-04,3620,3670,3600,3670,3670,82205100
2021-10-05,3670,3680,3620,3670,3670,140488300
2021-10-06,3690,3770,3650,3760,3760,153535700
2021-10-07,3720,3740,3690,3720,3720,56837600
2021-10-08,3730,3800,3720,3800,3800,91361800
2021-10-11,3800,3850,3770,3810,3810,78865000
2021-10-12,3780,3840,3770,3780,3780,69866300
2021-10-13,3750,3820,3750,3770,3770,87143900
2021-10-14,3770,3830,3770,3830,3830,95817900
2021-10-15,3840,3840,3750,3810,3810,69707700
2021-10-18,3840,3840,3790,3790,3790,78580700
2021-10-19,3750,3800,3720,3740,3740,61095700
2021-10-21,3780,3880,3760,3850,3850,169659500
2021-10-22,3860,3880,3820,3870,3870,59640700
2021-10-25,3800,3840,3780,3780,3780,58246300
2021-10-26,3800,3830,3780,3800,3800,58615100
2021-10-27,3820,3830,3770,3790,3790,52210100
2021-10-28,3820,3820,3710,3750,3750,61151100
2021-10-29,3750,3810,3730,3800,3800,70430900
2021-11-01,3810,3820,3700,3700,3700,65447100
2021-11-02,3700,3710,3640,3660,3660,170260000
2021-11-03,3620,3740,3620,3720,3720,48810500
2021-11-04,3750,3780,3720,3770,3770,53494200
2021-11-05,3760,3770,3710,3770,3770,43133000
2021-11-08,3780,3780,3710,3750,3750,58758600
2021-11-09,3730,3740,3680,3710,3710,92427800
2021-11-10,3670,3720,3670,3700,3700,53511200
2021-11-11,3700,3730,3640,3650,3650,95789600
2021-11-12,3660,3660,3600,3600,3600,115142400
2021-11-15,3600,3650,3600,3600,3600,91001800
2021-11-16,3590,3680,3590,3670,3670,99590700
2021-11-17,3690,3690,3600,3630,3630,82023300
2021-11-18,3630,3640,3600,3630,3630,53290400
2021-11-19,3660,3920,3660,3900,3900,310615000
2021-11-22,3920,3930,3780,3800,3800,206683100
2021-11-23,3800,3850,3780,3800,3800,67778800
2021-11-24,3840,3840,3790,3800,3800,67303800
2021-11-25,3880,4090,3850,4000,4000,264897100
2021-11-26,4040,4050,3970,4010,4010,231870300
2021-11-29,4010,4170,3980,4140,4140,228774600
2021-11-30,4150,4170,3990,3990,3990,435800600
2021-12-01,4040,4150,4020,4080,4080,200699200
2021-12-02,4140,4190,4100,4160,4160,116093100
2021-12-03,4130,4180,4050,4070,4070,96760700
2021-12-06,4060,4250,4050,4170,4170,106756900
2021-12-07,4180,4200,4120,4150,4150,121543400
2021-12-08,4100,4120,4010,4090,4090,113845600
2021-12-09,4090,4150,4080,4150,4150,86985800
2021-12-10,4070,4150,4070,4150,4150,90725000
2021-12-13,4150,4150,4080,4080,4080,65533000
2021-12-14,4120,4120,4070,4100,4100,75736900
2021-12-15,4060,4140,4060,4080,4080,84424500
2021-12-16,4110,4150,4060,4080,4080,58319000
